epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.727,0.6296,0.97121,1,0.07924,0.0004125,0.0004125,0.0004125
2,49.8695,0.12976,0.97247,1,0.07063,0.000812749,0.000812749,0.000812749
3,73.3261,0.09896,0.99374,1,0.02872,0.0011965,0.0011965,0.0011965
4,97.1942,0.0827,0.98373,1,0.05257,0.00117575,0.00117575,0.00117575
5,120.401,0.05773,0.99124,1,0.03508,0.001151,0.001151,0.001151
6,144.06,0.07895,0.98874,1,0.0293,0.00112625,0.00112625,0.00112625
7,167.704,0.04695,0.99499,1,0.01661,0.0011015,0.0011015,0.0011015
8,191.677,0.03232,0.99249,1,0.0142,0.00107675,0.00107675,0.00107675
9,215.842,0.05485,0.98874,1,0.0268,0.001052,0.001052,0.001052
10,239.954,0.03237,0.99374,1,0.01752,0.00102725,0.00102725,0.00102725
11,263.981,0.0356,0.99499,1,0.01533,0.0010025,0.0010025,0.0010025
12,288.023,0.02704,0.99249,1,0.02788,0.00097775,0.00097775,0.00097775
13,311.647,0.02165,0.99124,1,0.04229,0.000953,0.000953,0.000953
14,335.128,0.03385,0.99124,1,0.03231,0.00092825,0.00092825,0.00092825
15,358.034,0.03303,0.99249,1,0.02447,0.0009035,0.0009035,0.0009035
16,380.722,0.03169,0.99124,1,0.02438,0.00087875,0.00087875,0.00087875
17,404.684,0.03262,0.99499,1,0.02085,0.000854,0.000854,0.000854
18,428.638,0.03121,0.99374,1,0.02139,0.00082925,0.00082925,0.00082925
19,451.745,0.01224,0.99499,1,0.02471,0.0008045,0.0008045,0.0008045
20,474.686,0.01856,0.99499,1,0.01863,0.00077975,0.00077975,0.00077975
21,497.711,0.0162,0.99374,1,0.0244,0.000755,0.000755,0.000755
22,520.619,0.02511,0.99374,1,0.02388,0.00073025,0.00073025,0.00073025
23,543.526,0.01692,0.99374,1,0.01791,0.0007055,0.0007055,0.0007055
24,566.571,0.01809,0.99374,1,0.02002,0.00068075,0.00068075,0.00068075
25,589.547,0.01655,0.99249,1,0.02498,0.000656,0.000656,0.000656
26,612.57,0.01745,0.99499,1,0.02857,0.00063125,0.00063125,0.00063125
27,635.553,0.01832,0.99625,1,0.01656,0.0006065,0.0006065,0.0006065
28,658.679,0.02158,0.99374,1,0.0237,0.00058175,0.00058175,0.00058175
29,681.626,0.01083,0.99499,1,0.0234,0.000557,0.000557,0.000557
30,704.564,0.0079,0.99625,1,0.01971,0.00053225,0.00053225,0.00053225
31,727.507,0.01267,0.99249,1,0.03262,0.0005075,0.0005075,0.0005075
32,750.456,0.01001,0.99374,1,0.02296,0.00048275,0.00048275,0.00048275
33,773.449,0.01369,0.99499,1,0.01669,0.000458,0.000458,0.000458
34,796.349,0.00996,0.99499,1,0.01904,0.00043325,0.00043325,0.00043325
35,819.304,0.00685,0.99625,1,0.01883,0.0004085,0.0004085,0.0004085
36,842.397,0.01105,0.99499,1,0.02231,0.00038375,0.00038375,0.00038375
37,865.306,0.01238,0.99499,1,0.02082,0.000359,0.000359,0.000359
38,888.16,0.00593,0.99374,1,0.03086,0.00033425,0.00033425,0.00033425
39,911.069,0.00933,0.99499,1,0.0372,0.0003095,0.0003095,0.0003095
40,933.896,0.00466,0.99499,1,0.02676,0.00028475,0.00028475,0.00028475
41,956.682,0.00284,0.99499,1,0.02581,0.00026,0.00026,0.00026
42,979.753,0.00666,0.99499,1,0.03078,0.00023525,0.00023525,0.00023525
43,1002.68,0.00747,0.99499,1,0.03503,0.0002105,0.0002105,0.0002105
44,1025.56,0.00754,0.99499,1,0.02923,0.00018575,0.00018575,0.00018575
45,1048.59,0.00897,0.99499,1,0.03121,0.000161,0.000161,0.000161
46,1070.8,0.00454,0.99499,1,0.02738,0.00013625,0.00013625,0.00013625
47,1094.09,0.00784,0.99499,1,0.04692,0.0001115,0.0001115,0.0001115
48,1116.08,0.00517,0.99499,1,0.03398,8.675e-05,8.675e-05,8.675e-05
49,1138.02,0.00632,0.99499,1,0.03286,6.2e-05,6.2e-05,6.2e-05
50,1160.65,0.00271,0.99499,1,0.03233,3.725e-05,3.725e-05,3.725e-05
