epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.50625,0,1,1,0,2e-05,2e-05,2e-05
2,10.8337,0,1,1,0,5.8812e-05,5.8812e-05,5.8812e-05
3,11.9545,0,1,1,0,9.604e-05,9.604e-05,9.604e-05
4,13.187,0,1,1,0,0.000131684,0.000131684,0.000131684
5,14.2821,0,1,1,0,0.000165744,0.000165744,0.000165744
6,15.3289,0,1,1,0,0.00019822,0.00019822,0.00019822
7,16.4096,0,1,1,0,0.000229112,0.000229112,0.000229112
8,17.4512,0,1,1,0,0.00025842,0.00025842,0.00025842
9,18.5556,0,1,1,0,0.000286144,0.000286144,0.000286144
10,19.6186,0,1,1,0,0.000312284,0.000312284,0.000312284
11,20.6739,0,1,1,0,0.00033684,0.00033684,0.00033684
12,21.7126,0,1,1,0,0.000359812,0.000359812,0.000359812
13,22.7585,0,1,1,0,0.0003812,0.0003812,0.0003812
14,23.7868,0,1,1,0,0.000401004,0.000401004,0.000401004
15,24.8071,0,1,1,0,0.000419224,0.000419224,0.000419224
16,25.8444,0,1,1,0,0.00043586,0.00043586,0.00043586
17,26.8717,0,1,1,0,0.000450912,0.000450912,0.000450912
18,27.9308,0,1,1,0,0.00046438,0.00046438,0.00046438
19,28.9725,0,1,1,0,0.000476264,0.000476264,0.000476264
20,30.0842,0,1,1,0,0.000486564,0.000486564,0.000486564
21,31.1649,0,1,1,0,0.00049528,0.00049528,0.00049528
22,32.2478,0,1,1,0,0.000502412,0.000502412,0.000502412
23,33.3233,0,1,1,0,0.00050796,0.00050796,0.00050796
24,34.3551,0,1,1,0,0.000511924,0.000511924,0.000511924
25,35.4091,0,1,1,0,0.000514304,0.000514304,0.000514304
26,36.456,0,1,1,0,0.0005151,0.0005151,0.0005151
27,37.4746,0,1,1,0,0.000514312,0.000514312,0.000514312
28,38.5294,0,1,1,0,0.00051194,0.00051194,0.00051194
29,39.577,0,1,1,0,0.000507984,0.000507984,0.000507984
30,40.6161,0,1,1,0,0.000502444,0.000502444,0.000502444
31,41.646,0,1,1,0,0.00049532,0.00049532,0.00049532
32,42.7211,0,1,1,0,0.000486612,0.000486612,0.000486612
33,43.8531,0,1,1,0,0.00047632,0.00047632,0.00047632
34,44.9587,0,1,1,0,0.000464444,0.000464444,0.000464444
35,46.0038,0,1,1,0,0.000450984,0.000450984,0.000450984
36,47.1219,0,1,1,0,0.00043594,0.00043594,0.00043594
37,48.2854,0,1,1,0,0.000419312,0.000419312,0.000419312
38,49.4068,0,1,1,0,0.0004011,0.0004011,0.0004011
39,50.4928,0,1,1,0,0.000381304,0.000381304,0.000381304
40,51.5401,0,1,1,0,0.000359924,0.000359924,0.000359924
41,52.5836,0,1,1,0,0.00033696,0.00033696,0.00033696
42,53.6504,0,1,1,0,0.000312412,0.000312412,0.000312412
43,54.7384,0,1,1,0,0.00028628,0.00028628,0.00028628
44,55.9007,0,1,1,0,0.000258564,0.000258564,0.000258564
45,57.0799,0,1,1,0,0.000229264,0.000229264,0.000229264
46,58.2427,0,1,1,0,0.00019838,0.00019838,0.00019838
47,59.3962,0,1,1,0,0.000165912,0.000165912,0.000165912
48,60.5573,0,1,1,0,0.00013186,0.00013186,0.00013186
49,61.7267,0,1,1,0,9.6224e-05,9.6224e-05,9.6224e-05
50,62.848,0,1,1,0,5.9004e-05,5.9004e-05,5.9004e-05
