epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.4656,0.54157,0.97842,1,0.06962,0.000414187,0.000414187,0.000414187
2,62.3278,0.11217,0.98438,1,0.04813,0.000814402,0.000814402,0.000814402
3,90.3842,0.10202,0.97991,1,0.04993,0.00119812,0.00119812,0.00119812
4,118.294,0.07918,0.98661,1,0.04035,0.00117575,0.00117575,0.00117575
5,146.087,0.06715,0.98958,1,0.03955,0.001151,0.001151,0.001151
6,174.131,0.05113,0.9933,1,0.01975,0.00112625,0.00112625,0.00112625
7,202.481,0.04957,0.99405,1,0.01689,0.0011015,0.0011015,0.0011015
8,230.445,0.04127,0.99256,1,0.02663,0.00107675,0.00107675,0.00107675
9,258.359,0.0476,0.99107,1,0.02697,0.001052,0.001052,0.001052
10,286.398,0.03911,0.99107,1,0.03326,0.00102725,0.00102725,0.00102725
11,314.398,0.0373,0.99182,1,0.03139,0.0010025,0.0010025,0.0010025
12,342.17,0.03899,0.99182,1,0.03585,0.00097775,0.00097775,0.00097775
13,370.05,0.03643,0.99033,1,0.04318,0.000953,0.000953,0.000953
14,397.887,0.03284,0.99107,1,0.03601,0.00092825,0.00092825,0.00092825
15,425.852,0.02484,0.9933,1,0.0288,0.0009035,0.0009035,0.0009035
16,453.749,0.02469,0.98958,1,0.03326,0.00087875,0.00087875,0.00087875
17,481.744,0.03055,0.99479,1,0.03586,0.000854,0.000854,0.000854
18,509.661,0.02719,0.99107,1,0.04058,0.00082925,0.00082925,0.00082925
19,537.65,0.02652,0.99033,1,0.04511,0.0008045,0.0008045,0.0008045
20,565.893,0.02538,0.9933,1,0.04038,0.00077975,0.00077975,0.00077975
21,594.114,0.02454,0.98958,1,0.04341,0.000755,0.000755,0.000755
22,622.255,0.02193,0.9933,1,0.03258,0.00073025,0.00073025,0.00073025
23,650.352,0.02073,0.9933,1,0.0318,0.0007055,0.0007055,0.0007055
24,678.457,0.02707,0.99182,1,0.04475,0.00068075,0.00068075,0.00068075
25,706.55,0.02084,0.99182,1,0.03136,0.000656,0.000656,0.000656
26,734.819,0.0168,0.99479,1,0.02808,0.00063125,0.00063125,0.00063125
27,762.924,0.02015,0.99777,1,0.01939,0.0006065,0.0006065,0.0006065
28,791.576,0.01604,0.9933,1,0.03126,0.00058175,0.00058175,0.00058175
29,820.058,0.01158,0.99479,1,0.0269,0.000557,0.000557,0.000557
30,848.422,0.01716,0.99107,1,0.03366,0.00053225,0.00053225,0.00053225
31,876.744,0.01536,0.99479,1,0.03129,0.0005075,0.0005075,0.0005075
32,905.152,0.0105,0.99628,1,0.02368,0.00048275,0.00048275,0.00048275
33,933.337,0.01097,0.9933,1,0.03617,0.000458,0.000458,0.000458
34,961.488,0.01343,0.99479,1,0.03249,0.00043325,0.00043325,0.00043325
35,989.849,0.01215,0.9933,1,0.03414,0.0004085,0.0004085,0.0004085
36,1017.22,0.01567,0.99479,1,0.02969,0.00038375,0.00038375,0.00038375
37,1044.75,0.01155,0.99777,1,0.02413,0.000359,0.000359,0.000359
38,1074.74,0.00668,0.99628,1,0.02959,0.00033425,0.00033425,0.00033425
39,1105.39,0.00723,0.99628,1,0.03051,0.0003095,0.0003095,0.0003095
40,1136.02,0.0044,0.99702,1,0.0341,0.00028475,0.00028475,0.00028475
41,1166.12,0.00599,0.99628,1,0.03604,0.00026,0.00026,0.00026
42,1196.16,0.00557,0.99554,1,0.03579,0.00023525,0.00023525,0.00023525
43,1226.62,0.00595,0.99628,1,0.03438,0.0002105,0.0002105,0.0002105
44,1256.93,0.00483,0.99702,1,0.03343,0.00018575,0.00018575,0.00018575
45,1285.31,0.00392,0.99702,1,0.03388,0.000161,0.000161,0.000161
46,1313.46,0.00599,0.99628,1,0.03669,0.00013625,0.00013625,0.00013625
47,1341.57,0.00735,0.99628,1,0.0355,0.0001115,0.0001115,0.0001115
48,1369.55,0.00462,0.99702,1,0.03702,8.675e-05,8.675e-05,8.675e-05
49,1397.63,0.00514,0.99702,1,0.03536,6.2e-05,6.2e-05,6.2e-05
50,1425.39,0.00435,0.99702,1,0.03455,3.725e-05,3.725e-05,3.725e-05
